"Som","Classe"
"Speech","Antropofonia"
"Male speech, man speaking","Antropofonia"
"Female speech, woman speaking","Antropofonia"
"Child speech, kid speaking","Antropofonia"
"Conversation","Antropofonia"
"Narration, monologue","Antropofonia"
"Babbling","Antropofonia"
"Speech synthesizer","Antropofonia"
"Shout","Antropofonia"
"Bellow","Antropofonia"
"Whoop","Antropofonia"
"Yell","Antropofonia"
"Battle cry","Antropofonia"
"Children shouting","Antropofonia"
"Screaming","Antropofonia"
"Whispering","Antropofonia"
"Laughter","Antropofonia"
"Baby laughter","Antropofonia"
"Giggle","Antropofonia"
"Snicker","Antropofonia"
"Belly laugh","Antropofonia"
"Chuckle, chortle","Antropofonia"
"Crying, sobbing","Antropofonia"
"Baby cry, infant cry","Antropofonia"
"Whimper","Antropofonia"
"Wail, moan","Antropofonia"
"Sigh","Antropofonia"
"Singing","Antropofonia"
"Choir","Antropofonia"
"Yodeling","Antropofonia"
"Chant","Antropofonia"
"Mantra","Antropofonia"
"Male singing","Antropofonia"
"Female singing","Antropofonia"
"Child singing","Antropofonia"
"Synthetic singing","Antropofonia"
"Rapping","Antropofonia"
"Humming","Antropofonia"
"Groan","Antropofonia"
"Grunt","Antropofonia"
"Whistling","Antropofonia"
"Breathing","Antropofonia"
"Wheeze","Antropofonia"
"Snoring","Antropofonia"
"Gasp","Antropofonia"
"Pant","Antropofonia"
"Snort","Antropofonia"
"Cough","Antropofonia"
"Throat clearing","Antropofonia"
"Sneeze","Antropofonia"
"Sniff","Antropofonia"
"Run","Antropofonia"
"Shuffle","Antropofonia"
"Walk, footsteps","Antropofonia"
"Chewing, mastication","Antropofonia"
"Biting","Antropofonia"
"Gargling","Antropofonia"
"Stomach rumble","Antropofonia"
"Burping, eructation","Antropofonia"
"Hiccup","Antropofonia"
"Fart","Antropofonia"
"Hands","Antropofonia"
"Finger snapping","Antropofonia"
"Clapping","Antropofonia"
"Heart sounds, heartbeat","Antropofonia"
"Heart murmur","Antropofonia"
"Cheering","Antropofonia"
"Applause","Antropofonia"
"Chatter","Antropofonia"
"Crowd","Antropofonia"
"Hubbub, speech noise, speech babble","Antropofonia"
"Children playing","Antropofonia"
